tau,k_low,k_high,accuracy,avg_frames,fraction_upgraded,model,dataset,delta_acc
0.17171717171717174,4,16,0.4717066545948393,10.602987777274786,0.5502489814395655,r2plus1d_18_autsl_full_e10_a100,autsl,0.16953372566772296
0.18181818181818182,4,16,0.48800362154821186,10.888184698958804,0.5740153915799004,r2plus1d_18_autsl_full_e10_a100,autsl,0.18583069262109553
0.19191919191919193,4,16,0.5043005885015844,11.178813942960616,0.598234495246718,r2plus1d_18_autsl_full_e10_a100,autsl,0.2021276595744681
0.20202020202020204,4,16,0.5203712086917157,11.453146220009053,0.6210955183340878,r2plus1d_18_autsl_full_e10_a100,autsl,0.21819827976459938
0.21212121212121213,4,16,0.5321412403802626,11.678587596197374,0.6398822996831145,r2plus1d_18_autsl_full_e10_a100,autsl,0.22996831145314622
0.22222222222222224,4,16,0.5445903123585333,11.917609778180172,0.6598008148483476,r2plus1d_18_autsl_full_e10_a100,autsl,0.24241738343141694
0.23232323232323235,4,16,0.5586238116794929,12.16749660479855,0.6806247170665459,r2plus1d_18_autsl_full_e10_a100,autsl,-0.20076957899502046
0.24242424242424243,4,16,0.5699411498415573,12.371208691715708,0.6976007243096424,r2plus1d_18_autsl_full_e10_a100,autsl,-0.1894522408329561
0.25252525252525254,4,16,0.5805794477138977,12.561339972838388,0.7134449977365324,r2plus1d_18_autsl_full_e10_a100,autsl,-0.1788139429606157
0.26262626262626265,4,16,0.5864644635581712,12.691715708465368,0.724309642372114,r2plus1d_18_autsl_full_e10_a100,autsl,-0.17292892711634222
0.27272727272727276,4,16,0.5973291081937528,12.879130828429153,0.7399275690357627,r2plus1d_18_autsl_full_e10_a100,autsl,-0.16206428248076055
0.2828282828282829,4,16,0.6079674060660932,13.036668175645088,0.7530556813037573,r2plus1d_18_autsl_full_e10_a100,autsl,-0.15142598460842016
0.29292929292929293,4,16,0.6170212765957447,13.210502489814395,0.7675418741511997,r2plus1d_18_autsl_full_e10_a100,autsl,-0.1423721140787687
0.30303030303030304,4,16,0.6260751471253961,13.39791760977818,0.7831598008148484,r2plus1d_18_autsl_full_e10_a100,autsl,-0.13331824354911725
0.31313131313131315,4,16,0.6317338162064282,13.509280217292893,0.792440018107741,r2plus1d_18_autsl_full_e10_a100,autsl,-0.12765957446808518
0.32323232323232326,4,16,0.6373924852874604,13.604345857854232,0.8003621548211861,r2plus1d_18_autsl_full_e10_a100,autsl,-0.122000905387053
0.33333333333333337,4,16,0.6441828881846989,13.7428700769579,0.8119058397464917,r2plus1d_18_autsl_full_e10_a100,autsl,-0.11521050248981446
0.3434343434343435,4,16,0.6527840651878678,13.889542779538253,0.8241285649615211,r2plus1d_18_autsl_full_e10_a100,autsl,-0.10660932548664559
0.3535353535353536,4,16,0.6577636939791761,13.99818922589407,0.8331824354911724,r2plus1d_18_autsl_full_e10_a100,autsl,-0.10162969669533728
0.36363636363636365,4,16,0.6622906292440018,14.10411951109099,0.8420099592575826,r2plus1d_18_autsl_full_e10_a100,autsl,-0.09710276143051155
0.37373737373737376,4,16,0.666364870982345,14.180172023540063,0.8483476686283387,r2plus1d_18_autsl_full_e10_a100,autsl,-0.09302851969216841
0.38383838383838387,4,16,0.6704391127206881,14.286102308736986,0.8571751923947487,r2plus1d_18_autsl_full_e10_a100,autsl,-0.08895427795382527
0.393939393939394,4,16,0.6727025803531009,14.329560887279312,0.8607967406066094,r2plus1d_18_autsl_full_e10_a100,autsl,-0.08669081032141246
0.4040404040404041,4,16,0.6781349026708918,14.413761883205071,0.8678134902670892,r2plus1d_18_autsl_full_e10_a100,autsl,-0.08125848800362157
0.4141414141414142,4,16,0.6819827976459937,14.481665912177457,0.8734721593481213,r2plus1d_18_autsl_full_e10_a100,autsl,-0.07741059302851971
